,fatrCode,facilityId,measDate,weeks,fldCode,sectCode,itemCode,senVal,ymd,cntCollect,num
34037,TL,PF_0010019_01,2020-02-09 18:00:00,"(2020, 6)",FG,NT,80300,90.0,20200209,20,34029
34038,HL,PF_0010019_01,2020-02-09 19:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,20,34050
34039,SO,PF_0010019_01,2020-02-09 19:00:00,"(2020, 6)",FG,NT,80300,300.0,20200209,20,34051
34040,HI,PF_0010019_01,2020-02-09 19:00:00,"(2020, 6)",FG,EI,80300,92.0,20200209,20,34052
34041,WS,PF_0010019_01,2020-02-09 19:00:00,"(2020, 6)",FG,EO,80300,0.81,20200209,20,34056
34042,PL,PF_0010019_01,2020-02-09 19:00:00,"(2020, 6)",FG,EL,80300,5.93,20200209,20,34054
34043,TE,PF_0010019_01,2020-02-09 19:00:00,"(2020, 6)",FG,EO,80300,0.58,20200209,20,34055
34044,WD,PF_0010019_01,2020-02-09 19:00:00,"(2020, 6)",FG,EO,80300,5.7,20200209,20,34049
34045,HE,PF_0010019_01,2020-02-09 19:00:00,"(2020, 6)",FG,EO,80300,77.45,20200209,20,34053
34046,SI,PF_0010019_01,2020-02-09 19:00:00,"(2020, 6)",FG,NT,80300,20.0,20200209,20,34048
34047,EI,PF_0010019_01,2020-02-09 19:00:00,"(2020, 6)",FG,NT,80300,2.9,20200209,20,34047
34048,EO,PF_0010019_01,2020-02-09 19:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,20,34046
34049,TI,PF_0010019_01,2020-02-09 19:00:00,"(2020, 6)",FG,EI,80300,15.0,20200209,20,34045
34050,CI,PF_0010019_01,2020-02-09 19:00:00,"(2020, 6)",FG,EI,80300,268.05,20200209,20,34044
34051,EL,PF_0010019_01,2020-02-09 19:00:00,"(2020, 6)",FG,EL,80300,2.88,20200209,20,34043
34052,TL,PF_0010019_01,2020-02-09 19:00:00,"(2020, 6)",FG,NT,80300,90.0,20200209,20,34042
34053,RP,PF_0010019_01,2020-02-09 19:00:00,"(2020, 6)",FG,EO,80300,0.0,20200209,20,34041
